SameKey	Times	npos	KeyValue	strContext	Src	strComment
0	1	3	1279231501	CMainFrame	上下文栏	
0	1	4	1814690088	CMainFrame	语言	
0	1	6	1815005658	CMainFrame	文件	
0	1	13	186813987	CMainFrame	状态栏	
0	1	19	1409981152	CDlgProSrc	查看内容	
0	1	20	1814950252	CMainFrame	退出	
0	1	32	1825802152	CMainFrame	编辑	
0	1	34	629542383	CDlgProSrc	要更新的数据库资源文件（不更新不填）	
0	1	36	870159562	CMainFrame	关于Multilan...	
0	1	42	2055665414	CAboutDlg	关于MultiLanTool	
0	1	45	26545736	CMainFrame	显示程序信息，版本号和版权	
0	1	48	1381088453	CMainFrame	生成翻译文件(Bigendian)...	
0	1	53	1191760698	CMainFrame	生成翻译文件...	
0	2	54	1113809045	CMultiLanToolApp	未命名	
0	1	59	578069942	CSourceBar	原文	
0	1	60	1130306445	CContextBar	完成	
0	1	64	2055857450	CContextBar	上下文	
0	2	65	2078430016	CDlgProSrc	项目文件	
0	1	67	1387046774	CMainFrame	工具栏	
0	1	76	1608595405	CDlgProSrc	要更新的源码资源文件（不更新不填）	
0	1	77	146547998	CMainFrame	语言标题	
0	1	79	1860999278	CMainFrame	保存	
0	1	80	1861001072	CMainFrame	帮助	
0	1	83	1495713185	CDlgTitle	语言标题	
0	1	84	55111851	CMainFrame	原文栏	
0	1	88	576116579	CSourceBar	备注	
0	1	92	196155596	CMainFrame	找不到项目文件中指定的数据库文件	
0	2	93	575357329	CSourceBar	状态	
0	1	114	1311433077	CMainFrame	找不到文件	
0	1	115	1128753925	CContextBar	状态	
0	1	121	207623490	CMainFrame	查看DBHS文件的内容...	
0	1	126	813892215	CDlgProSrc	更新原语言文件	
0	2	127	2050943225	CMainFrame	打开...	
0	1	128	575588499	CSourceBar	译文	
0	1	129	1659582347	CMainFrame	更新src...	
0	1	130	1825718631	CMainFrame	查看	
0	1	131	1126362242	CContextBar	项目	
0	1	136	1860967387	CMainFrame	高级	
0	1	138	299506607	CAboutDlg	版权所有 2011	
0	1	141	1081434562	CMainFrame	退出应用程序;提示保存文档	
0	1	142	1208644979	CMainFrame	另存为...	
0	1	146	627298800	CContextBar	上下文栏	
0	1	147	2137360141	CMainFrame	资源文件类型错误,只支持.src及.DBsrc类型!	
nHashSize: 163   nNodeCount:43  nTimes:47
