SameKey	Times	KeyValue	strContext	Src	strComment
0	1	64503177	CMainFrame	AI个数	
0	1	209288580	CMainFrame	BI	
0	3	209226802	CMainFrame	无	
0	1	1269359571	CMainFrame	合位序号	
0	1	1815005658	CMainFrame	文件	
0	4	1814690088	CMainFrame	语言	
0	1	1436504014	CMainFrame	属性栏	
0	1	1814942420	CMainFrame	外观	
0	1	186813987	CMainFrame	状态栏	
0	1	1814950252	CMainFrame	退出	
0	1	1909835003	CMainFrame	开入类型	
0	1	1120101798	CDlgBIBitmap	遥信属性	测试的
0	1	999095815	CMainFrame	二次值	
0	1	1825802152	CMainFrame	编辑	
0	1	1814902837	CMainFrame	位置	
0	2	1814672681	CMainFrame	新建	
0	1	461928348	CMainFrame	x	
0	1	209288293	CMainFrame	AI	
0	1	461928351	CMainFrame	y	
0	1	1086395208	CMainFrame	遥测序号	
0	1	97018469	CMainFrame	单点遥控	
0	1	1880399843	CMainFrame	AI栏	
0	1	756403029	CMainFrame	分位序号	
0	1	70844916	CMainFrame	BO类型	
0	1	1387046774	CMainFrame	工具栏	
0	1	1826025337	CMainFrame	属性	
0	1	902451861	CMainFrame	分合遥控	
0	1	1861001072	CMainFrame	帮助	
0	3	1860999278	CMainFrame	保存	
0	1	411761719	CDataListBar	序号	
0	1	2110797601	CMainFrame	一次值	
0	1	1000014219	CMainFrame	生成数据文件...(大端模式)	
0	1	1295795001	CMainFrame	大字体	
0	1	184376406	CMainFrame	无遥控	
0	1	1769075448	CMainFrame	打开文件失败: 	
0	2	1883984580	CMainFrame	BI栏	
0	1	166560186	CMainFrame	关于GraphTool...	
0	1	2054073955	CMainFrame	小字体	
0	1	1814719054	CMainFrame	双点	
0	1	2050943225	CMainFrame	打开...	
0	2	1291756218	CMainFrame	数据库	
0	1	1048288826	CMainFrame	显示类型	
0	1	1825718631	CMainFrame	查看	
0	1	1929591034	CMainFrame	控分序号	
0	1	1886152027	CMainFrame	控合序号	
0	1	1763712133	CMainFrame	BI个数	
0	1	1814934396	CMainFrame	图标	
0	1	414665133	CDataListBar	类型	
0	2	1208644979	CMainFrame	另存为...	
0	3	1661616600	CMainFrame	背景位图	
0	1	1394471504	CGraphToolView	无标题	CGraphToolView
0	1	414433842	CDataListBar	简称	
0	1	414639388	CDataListBar	单位	
0	1	1815739305	CMainFrame	单点	
0	1	994216209	CMainFrame	生成数据文件...	
0	1	1057730464	CMainFrame	窗口标题	
0	2	1814086324	CMainFrame	字体	
nHashSize: 163   nNodeCount:57  nTimes:71
